"Month","Sales"
"1-01-1",266.0
"1-02-1",145.9
"1-03-1",183.1
"1-04-1",119.3
"1-05-1",180.3
"1-06-1",168.5
"1-07-1",231.8
"1-08-1",224.5
"1-09-1",192.8
"1-10-1",122.9
"1-11-1",336.5
"1-12-1",185.9
"2-01-1",194.3
"2-02-1",149.5
"2-03-1",210.1
"2-04-1",273.3
"2-05-1",191.4
"2-06-1",287.0
"2-07-1",226.0
"2-08-1",303.6
"2-09-1",289.9
"2-10-1",421.6
"2-11-1",264.5
"2-12-1",342.3
"3-01-1",339.7
"3-02-1",440.4
"3-03-1",315.9
"3-04-1",439.3
"3-05-1",401.3
"3-06-1",437.4
"3-07-1",575.5
"3-08-1",407.6
"3-09-1",682.0
"3-10-1",475.3
"3-11-1",581.3
"3-12-1",646.9
