temperatura,data,hora
19.42,2016-09-21,01:15:00
19.435,2016-09-21,02:15:00
19.44,2016-09-21,03:15:00
19.44,2016-09-21,04:15:00
19.44,2016-09-21,05:15:00
19.435,2016-09-21,06:15:00
19.4375,2016-09-21,07:15:00
19.427500000000002,2016-09-21,08:15:00
19.4075,2016-09-21,09:15:00
19.39,2016-09-21,10:15:00
19.372500000000002,2016-09-21,11:15:00
19.3525,2016-09-21,12:15:00
19.3275,2016-09-21,13:15:00
19.305,2016-09-21,14:15:00
19.29,2016-09-21,15:15:00
19.2875,2016-09-21,16:15:00
19.2675,2016-09-21,17:15:00
19.2675,2016-09-21,18:15:00
19.2825,2016-09-21,19:15:00
19.285,2016-09-21,20:15:00
19.29,2016-09-21,21:15:00
19.294999999999998,2016-09-21,22:15:00
19.3025,2016-09-21,23:15:00
19.2925,2016-09-22,00:15:00
19.3,2016-09-22,01:15:00
19.3,2016-09-22,02:15:00
19.3,2016-09-22,03:15:00
19.2975,2016-09-22,04:15:00
19.29,2016-09-22,05:15:00
19.29,2016-09-22,06:15:00
19.285,2016-09-22,07:15:00
19.267500000000002,2016-09-22,08:15:00
19.24,2016-09-22,09:15:00
19.215,2016-09-22,10:15:00
19.1925,2016-09-22,11:15:00
19.1725,2016-09-22,12:15:00
19.1575,2016-09-22,13:15:00
19.1475,2016-09-22,14:15:00
19.125,2016-09-22,15:15:00
19.1125,2016-09-22,16:15:00
19.1025,2016-09-22,17:15:00
19.1075,2016-09-22,18:15:00
19.125,2016-09-22,19:15:00
19.13,2016-09-22,20:15:00
19.1475,2016-09-22,21:15:00
19.15,2016-09-22,22:15:00
19.154999999999998,2016-09-22,23:15:00
19.1625,2016-09-23,00:15:00
19.1625,2016-09-23,01:15:00
19.17,2016-09-23,02:15:00
19.17,2016-09-23,03:15:00
19.1725,2016-09-23,04:15:00
19.1825,2016-09-23,05:15:00
19.19,2016-09-23,06:15:00
19.1825,2016-09-23,07:15:00
19.165,2016-09-23,08:15:00
19.1525,2016-09-23,09:15:00
19.122500000000002,2016-09-23,10:15:00
19.115000000000002,2016-09-23,11:15:00
19.1025,2016-09-23,12:15:00
19.0825,2016-09-23,13:15:00
19.065,2016-09-23,14:15:00
19.0525,2016-09-23,15:15:00
19.04,2016-09-23,16:15:00
19.04,2016-09-23,17:15:00
19.0425,2016-09-23,18:15:00
19.07,2016-09-23,19:15:00
19.087500000000002,2016-09-23,20:15:00
19.095,2016-09-23,21:15:00
19.1075,2016-09-23,22:15:00
19.1225,2016-09-23,23:15:00
19.1325,2016-09-24,00:15:00
19.145,2016-09-24,01:15:00
19.1525,2016-09-24,02:15:00
19.16,2016-09-24,03:15:00
19.16,2016-09-24,04:15:00
19.1675,2016-09-24,05:15:00
19.175,2016-09-24,06:15:00
19.177500000000002,2016-09-24,07:15:00
19.17,2016-09-24,08:15:00
19.155,2016-09-24,09:15:00
19.134999999999998,2016-09-24,10:15:00
19.134999999999998,2016-09-24,11:15:00
19.12,2016-09-24,12:15:00
19.1075,2016-09-24,13:15:00
19.0925,2016-09-24,14:15:00
19.0825,2016-09-24,15:15:00
19.075,2016-09-24,16:15:00
19.08,2016-09-24,17:15:00
19.095,2016-09-24,18:15:00
19.1175,2016-09-24,19:15:00
19.14,2016-09-24,20:15:00
19.1525,2016-09-24,21:15:00
19.16,2016-09-24,22:15:00
19.177500000000002,2016-09-24,23:15:00
19.2075,2016-09-25,00:15:00
19.21,2016-09-25,01:15:00
19.2175,2016-09-25,02:15:00
19.235,2016-09-25,03:15:00
19.24,2016-09-25,04:15:00
19.24,2016-09-25,05:15:00
19.257500000000004,2016-09-25,06:15:00
19.2625,2016-09-25,07:15:00
19.265,2016-09-25,08:15:00
19.2525,2016-09-25,09:15:00
19.25,2016-09-25,10:15:00
19.244999999999997,2016-09-25,11:15:00
19.2275,2016-09-25,12:15:00
19.2125,2016-09-25,13:15:00
19.21,2016-09-25,14:15:00
19.1925,2016-09-25,15:15:00
19.19,2016-09-25,16:15:00
